!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
'night, Mother (1986) |   3.7 stars, 1hr 36m
'Til Death (2006-2009) |   3.7 stars, 4 Seasons
@Suicide Room (2011) |   3.4 stars, 1hr 51m
... And God Spoke (1993) |   2.8 stars, 1hr 22m
.Com for Murder (2002) |   2.8 stars, 1hr 37m
1 a Minute (2010) |   2.4 stars, 1hr 29m
1 Love (2003) |   3.5 stars, 1hr 33m
10:30 P.M. Summer (1966) |   2.7 stars, 1hr 24m
10 Dead Men (2008) |   2.5 stars, 1hr 30m
10 Items or Less (2006-2009) |   2.9 stars, 3 Seasons
10 mph (2007) |   3.2 stars, 1hr 33m
10 Questions for the Dalai Lama (2006) |   3.8 stars, 1hr 26m
10 to Midnight (1983) |   3.5 stars, 1hr 41m
10 Yards: Fantasy Football (2008) |   2.5 stars, 1hr 30m
10.5 (2004) |   3.7 stars, 2 Episodes
100 Million BC (2008) |   2.8 stars, 1hr 25m
100 Tears (2007) |   2.5 stars, 1hr 31m
100 Voices: A Journey Home (2010) |   2.7 stars, 1hr 32m
100 Women (2002) |   3.2 stars, 1hr 34m
1000 Ways to Die (2008-2009) |   3.6 stars, 2 Seasons
11/11/11 (2011) |   2.7 stars, 1hr 27m
11/4/08 (2010) |   2.4 stars, 1hr 10m
11-11-11: The Prophecy (2011) |   3 stars, 1hr 22m
12 Dates of Christmas (2011) |   3.9 stars, 1hr 27m
13 Assassins (2011) |   4 stars, 2hr 5m
13 Moons (2002) |   2.8 stars, 1hr 34m
1313: Actor Slash Model (2011) |   1.7 stars, 1hr 12m
1313: Bermuda Triangle (2011) |   1.7 stars, 1hr 14m
1313: Bigfoot Island (2011) |   1.8 stars, 1hr 16m
1313: Billy the Kid (2012) |   1.9 stars, 1hr 12m
1313: Cougar Cult (2012) |   1.7 stars, 1hr 13m
1313: Frankenqueen (2012) |   1.5 stars, 1hr 16m
1313: Hercules Unbound (2012) |   1.5 stars, 1hr 12m
1313: Night of the Widow (2012) |   1.6 stars, 1hr 16m
1313: UFO Invasion (2011) |   1.6 stars, 1hr 24m
1313: Wicked Stepbrother (2011) |   1.9 stars, 1hr 15m
13B (2009) |   2.9 stars, 2hr 8m
13Teen (2005) |   2.8 stars, 1hr 22m
16 Fathoms Deep (1948) |   2.5 stars, 1hr 18m
16 to Life (2009) |   3.4 stars, 1hr 29m
16-Love (2012) |   3.7 stars, 1hr 28m
18 to Life (2010-2011) |   3.7 stars, 2 Seasons
180� South (2010) |   4.1 stars, 1hr 26m
1911 (2011) |   3.4 stars, 1hr 39m
1981 (2009) |   2.8 stars, 1hr 42m
1984 (1984) |   3.5 stars, 1hr 50m
2 Become 1 (2006) |   2.9 stars, 1hr 37m
2 Days (2003) |   3 stars, 1hr 31m
2 Days in Paris (2007) |   2.9 stars, 1hr 40m
2 Months, $2 Million (2009) |   3.5 stars, 1 Season
2-Headed Shark Attack (2012) |   2.8 stars, 1hr 27m
20 Years After (2008) |   2.9 stars, 1hr 35m
200 Motels (1971) |   3.1 stars, 1hr 39m
200 mph (2011) |   3 stars, 1hr 32m
2000 A.D. (2000) |   2.9 stars, 1hr 44m
2010: Moby Dick (2010) |   2.5 stars, 1hr 27m
2012: An Awakening (2009) |   3.1 stars, 1hr 8m
2012: Ice Age (2011) |   2.8 stars, 1hr 31m
2012: Mayan Prophecy and the Shift of the Ages (2009) |   3 stars, 1hr 16m
2012: Science or Superstition (2008) |   3.2 stars, 1hr 18m
2012: Time for Change (2010) |   3.7 stars, 1hr 25m
2012: Zombie Apocalypse (2011) |   2.9 stars, 1hr 27m
21 Grams (2003) |   3.5 stars, 2hr 4m
21 Hours at Munich (1976) |   3.3 stars, 1hr 41m
